# gunzip -c exp/tri2a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2a/graph 
# Started at Fri Oct 29 08:12:16 +07 2021
#
Overall, j_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,8) frames.
Overall, s_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,16) frames.
Overall, g_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,7) frames.
Overall, g_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, x_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,5) frames.
Overall, p_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,10) frames.
The optional-silence phone sil occupies 25.8% of frames overall 
Limiting the stats to the 76.0% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 3.0% of frames.
Assuming 100 frames per second, the alignments represent 0.7 hours of data, or 0.6 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 1.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (9,15.0,41)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Oct 29 08:12:16 +07 2021, elapsed time 0 seconds
